time,Cr_at_center,Cr_at_surface,defect_max
0,0,0,0
10,0.19999999815066,0.17,1.4659e-09
20,0.19999999924373,0.17,2.8318e-09
30,0.19999999431642,0.17,4.1977e-09
40,0.19999999287883,0.17,5.5636e-09
50,0.19999999346036,0.17,6.9295e-09
60,0.19999999358099,0.17,8.2954e-09
70,0.19999999223053,0.17,9.6613e-09
80,0.19999998969744,0.17,1.10272e-08
90,0.19999998681342,0.17,1.23931e-08
100,0.19999998435151,0.17,1.3759e-08
110,0.19999998273359,0.17,1.51249e-08
120,0.19999998198856,0.17,1.64908e-08
130,0.19999998185278,0.17,1.78567e-08
140,0.19999998191994,0.17,1.92226e-08
150,0.19999998178049,0.17,2.05885e-08
160,0.19999998112091,0.17,2.19544e-08
170,0.19999997977542,0.17,2.33203e-08
180,0.19999997773523,0.17,2.46862e-08
190,0.19999997512695,0.17,2.60521e-08
200,0.19999997217252,0.17,2.7418e-08
210,0.19999996914213,0.17,2.87839e-08
220,0.19999996630874,0.17,3.01498e-08
230,0.19999996390991,0.17,3.15157e-08
240,0.19999996212006,0.17,3.28816e-08
250,0.19999996103417,0.17,3.42475e-08
260,0.19999996066234,0.17,3.56134e-08
270,0.19999996093362,0.17,3.69793e-08
280,0.19999996170721,0.17,3.83452e-08
290,0.19999996278859,0.17,3.97111e-08
300,0.19999996394852,0.17,4.1077e-08
310,0.19999996494313,0.17,4.24429e-08
320,0.19999996553329,0.17,4.38088e-08
330,0.19999996550222,0.17,4.51747e-08
340,0.19999996467043,0.17,4.65406e-08
350,0.19999996290745,0.17,4.79065e-08
360,0.19999996014009,0.17,4.92724e-08
370,0.19999995635723,0.17,5.06383e-08
380,0.19999995161128,0.17,5.20042e-08
390,0.19999994601656,0.17,5.33701e-08
400,0.19999993974503,0.17,5.4736e-08
410,0.19999993301972,0.17,5.61019e-08
420,0.19999992610635,0.17,5.74678e-08
430,0.19999991930357,0.17,5.88337e-08
440,0.1999999129322,0.17,6.01996e-08
450,0.19999990732395,0.17,6.15655e-08
460,0.19999990280979,0.17,6.29314e-08
470,0.19999989970855,0.17,6.42973e-08
480,0.19999989831568,0.17,6.56632e-08
490,0.19999989889269,0.17,6.70291e-08
500,0.19999990165723,0.17,6.8395e-08
510,0.19999990677402,0.17,6.97609e-08
520,0.19999991434676,0.17,7.11268e-08
530,0.19999992441098,0.17,7.24927e-08
540,0.19999993692792,0.17,7.38586e-08
550,0.19999995177955,0.17,7.52245e-08
560,0.19999996876445,0.17,7.65904e-08
570,0.19999998759485,0.17,7.79563e-08
580,0.20000000789449,0.17,7.93222e-08
590,0.20000002919747,0.17,8.06881e-08
600,0.20000005094791,0.17,8.2054e-08
610,0.20000007250037,0.17,8.34199e-08
620,0.20000009312102,0.17,8.47858e-08
630,0.2000001119894,0.17,8.61517e-08
640,0.20000012820077,0.17,8.75176e-08
650,0.20000014076895,0.17,8.88835e-08
660,0.20000014862963,0.17,9.02494e-08
670,0.20000015064398,0.17,9.16153e-08
680,0.2000001456026,0.17,9.29812e-08
690,0.20000013222975,0.17,9.43471e-08
700,0.2000001091877,0.17,9.5713e-08
710,0.20000007508131,0.17,9.70789e-08
