====== H (3000) into Disk                       =======
        SRIM-2013.00
==========================================
    Ion and Target VACANCY production     
  See SRIM Outputs\TDATA.txt for calc. details
==========================================
====== TRIM Calc.=  H(3 MeV) ==> Disk(  30 um) ===============================
------------------------------------------------------------------------------
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file :  SRIM Outputs\TDATA.txt for calculation data
 Ion    =  H   Energy = 3000 keV
============= TARGET MATERIAL ======================================
Layer  1 : Disk
Layer Width =     3.E+05 A ;
  Layer # 1- Density = 8.715E22 atoms/cm3 = 8.3 g/cm3
  Layer # 1- Ni = 80   Atomic Percent = 81.8 Mass Percent
  Layer # 1- Cr = 20   Atomic Percent = 18.1 Mass Percent
====================================================================
 Total Ions calculated =1571.73
 Total Target Vacancies     = 15 /Ion

==========================================================
  Table Units are  >>>> Vacancies/(Angstrom-Ion)  <<<<  
==========================================================
   TARGET     VACANCIES     VACANCIES 
   DEPTH         by            by     
   (Ang.)       IONS         RECOILS  
-----------  -----------  ------------
300001.E-02  8483.24E-10  3227.13E-10  
600001.E-02  4453.70E-09  3930.47E-09  
900001.E-02  7210.75E-09  8993.50E-09  
120000.E-01  1060.40E-08  1783.57E-08  
150000.E-01  8059.07E-09  6641.01E-08  
180000.E-01  8695.32E-09  8106.85E-09  
210000.E-01  6786.59E-09  5189.83E-09  
240000.E-01  9755.72E-09  3204.51E-08  
270000.E-01  8483.24E-09  9266.31E-09  
300000.E-01  9755.72E-09  5729.28E-09  
330000.E-01  8059.07E-09  1318.15E-08  
360000.E-01  9967.80E-09  1191.15E-08  
390000.E-01  9755.72E-09  1514.19E-08  
420000.E-01  1017.99E-08  1254.74E-08  
450000.E-01  8271.16E-09  9361.45E-09  
480000.E-01  8483.24E-09  2231.67E-09  
510000.E-01  8907.40E-09  2417.10E-08  
540000.E-01  8483.24E-09  8779.07E-09  
570000.E-01  8271.16E-09  1871.14E-08  
600000.E-01  7634.91E-09  3313.34E-09  
630000.E-01  1208.86E-08  5165.95E-09  
660000.E-01  9331.56E-09  2800.66E-08  
690000.E-01  9967.80E-09  2051.43E-08  
720000.E-01  9543.64E-09  9965.78E-09  
750000.E-01  8483.24E-09  4427.19E-09  
780000.E-01  9331.56E-09  1677.34E-08  
810000.E-01  1039.20E-08  9012.02E-08  
840000.E-01  1081.61E-08  2409.92E-08  
870000.E-01  1124.03E-08  1906.05E-08  
900000.E-01  1336.11E-08  3179.24E-07  
930000.E-01  1230.07E-08  1432.87E-08  
960000.E-01  1166.44E-08  7671.72E-09  
990000.E-01  1124.03E-08  4778.51E-09  
102000.E+00  1251.28E-08  3497.16E-08  
105000.E+00  1187.65E-08  1345.88E-07  
108000.E+00  1102.82E-08  4183.42E-08  
111000.E+00  1251.28E-08  2111.32E-08  
114000.E+00  8695.32E-09  6992.52E-09  
117000.E+00  1314.90E-08  3601.12E-08  
120000.E+00  9119.48E-09  2204.51E-08  
123000.E+00  1145.24E-08  3193.37E-09  
126000.E+00  1081.61E-08  1336.85E-08  
129000.E+00  1230.07E-08  4884.31E-08  
132000.E+00  1145.24E-08  1496.07E-08  
135000.E+00  9967.80E-09  3538.56E-08  
138000.E+00  1251.28E-08  2048.82E-08  
141000.E+00  1166.44E-08  1327.51E-08  
144000.E+00  9967.80E-09  1352.75E-07  
147000.E+00  1208.86E-08  9538.61E-09  
150000.E+00  1293.69E-08  6598.55E-09  
153000.E+00  1484.57E-08  3120.15E-08  
156000.E+00  1251.28E-08  2373.03E-08  
159000.E+00  1378.53E-08  3125.33E-08  
162000.E+00  1505.77E-08  6511.63E-08  
165000.E+00  1442.15E-08  2855.00E-08  
168000.E+00  1378.53E-08  4181.71E-08  
171000.E+00  1378.53E-08  1851.76E-08  
174000.E+00  1463.36E-08  3211.88E-08  
177000.E+00  1505.77E-08  6361.67E-08  
180000.E+00  1378.53E-08  1060.76E-08  
183000.E+00  1272.49E-08  8713.90E-08  
186000.E+00  1463.36E-08  9220.21E-09  
189000.E+00  1357.32E-08  3140.75E-08  
192000.E+00  1526.98E-08  8081.72E-09  
195000.E+00  1633.02E-08  1041.78E-07  
198000.E+00  1590.61E-08  1792.89E-08  
201000.E+00  1569.40E-08  1168.83E-08  
204000.E+00  1590.61E-08  1166.72E-07  
207000.E+00  1717.86E-08  6397.81E-08  
210000.E+00  1463.36E-08  1835.41E-08  
213000.E+00  1336.11E-08  1306.08E-08  
216000.E+00  1420.94E-08  2305.15E-08  
219000.E+00  1611.81E-08  2192.19E-08  
222000.E+00  1760.27E-08  2680.10E-08  
225000.E+00  1929.94E-08  1953.79E-08  
228000.E+00  1505.77E-08  7479.16E-09  
231000.E+00  1951.14E-08  2496.68E-08  
234000.E+00  1463.36E-08  1514.97E-07  
237000.E+00  1908.73E-08  1571.48E-08  
240000.E+00  1887.52E-08  1280.11E-08  
243000.E+00  1929.94E-08  1177.23E-08  
246000.E+00  2142.02E-08  2628.87E-08  
249000.E+00  1739.06E-08  8288.64E-08  
252000.E+00  2205.64E-08  2360.67E-08  
255000.E+00  1845.10E-08  1843.55E-08  
258000.E+00  2120.81E-08  7381.52E-08  
261000.E+00  2226.85E-08  4211.40E-08  
264000.E+00  2290.47E-08  1753.02E-08  
267000.E+00  2438.93E-08  8955.75E-08  
270000.E+00  2099.60E-08  6217.52E-08  
273000.E+00  2396.51E-08  4886.08E-08  
276000.E+00  2354.10E-08  4020.99E-08  
279000.E+00  3011.55E-08  2931.50E-08  
282000.E+00  2799.47E-08  1058.54E-07  
285000.E+00  2863.09E-08  4247.99E-08  
288000.E+00  3053.97E-08  6200.91E-08  
291000.E+00  2884.30E-08  2370.55E-08  
294000.E+00  2969.13E-08  1734.62E-08  
297000.E+00  3266.05E-08  7943.24E-08  
300000.E+00  5450.48E-08  1015.49E-07  

 To convert to Energy Lost - multiply by Average Binding Energy =  3  eV/Vacancy
